nome_original,nome_abreviado
"Se eu ganhasse pontos para trocar por produtos e serviços, usaria mais o transporte público ",V1
"Se eu pudesse pagar por dia para ter passagens ilimitadas, usaria mais transporte público",V2
"Se eu pudesse pagar por mês para ter passagens ilimitadas, usaria mais transporte público ",V3
"Se eu pudesse pagar por ano para ter passagens ilimitadas, usaria mais transporte público ",V4
"Se eu recebesse um valor em troca por quilometro viajado, usaria mais o transporte público ",V5
"Se ganhasse desconto na passagem por viajar em horários fora de pico, usaria mais o transporte público ",V6
"Eu recomendaria a amigos familiares e colegas, se eu ganhasse passagens ou pontos para trocar por produtos e serviços",V7
"Eu recomendaria a amigos familiares e colegas, se eu tivesse passagens ilimitadas no transporte público ",V8
"Eu recomendaria a amigos familiares e colegas o transporte público, se eu recebesse um valor de volta por quilometro viajado ",V9
"Eu recomendaria a amigos familiares e colegas o transporte público, se eu ganhasse desconto na passagem por viajar em horários fora de pico",V10
