"ID",Gênero ,Raça,Idade,"Nível de escolaridade
",Situação Profissional ,"Possui filhos?  (Insira o número, no caso de não possuir colocar o número zero)",Renda,Muito obrigado por fazer parte da nossa pesquisa utilize este espaço para deixar seus comentários e sugestões 
1,Masculino,Branca,25–49,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
2,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
3,Masculino,Negra ( pretos e pardos),25–49,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,Ótima pesquisa parabéns pela iniciativa 
4,Masculino,Branca,25–49,Graduação (completo ou incompleto),Aposentado,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
5,Masculino,Negra ( pretos e pardos),25–49,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
6,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
7,Masculino,Branca,18–24,"Pós-graduação (Especialização; MBA; Mestrado; Doutorado, seja completo ou incompleto)",Estudante,0,Até 1 salário mínimo:  R$ 1.302,
8,Masculino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
9,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
10,Feminino,Branca,25–49,"Pós-graduação (Especialização; MBA; Mestrado; Doutorado, seja completo ou incompleto)",Empregado (carteira assinada ou autônomo),0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,Espero que esse tipo de sistema vire realidade
11,Masculino,Negra ( pretos e pardos),25–49,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
12,Masculino,Negra ( pretos e pardos),25–49,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
13,Feminino,Branca,18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
14,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,
15,Masculino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
16,Masculino,Branca,65 ou mais,Fundamental (completo ou incompleto),Aposentado,4,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
17,Feminino,Negra ( pretos e pardos),18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,
18,Feminino,Negra ( pretos e pardos),18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,Até 1 salário mínimo:  R$ 1.302,
19,Feminino,Branca,18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,Até 1 salário mínimo:  R$ 1.302,
20,Feminino,Negra ( pretos e pardos),Menor que 18,Ensino Médio (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
21,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,Até 1 salário mínimo:  R$ 1.302,
22,Feminino,Branca,25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
23,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
24,Masculino,Negra ( pretos e pardos),18–24,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),3,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
25,Masculino,Branca,25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
26,Feminino,Negra ( pretos e pardos),25–49,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
27,Feminino,Negra ( pretos e pardos),18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,Até 1 salário mínimo:  R$ 1.302,
28,Feminino,Branca,25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
29,Masculino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
30,Masculino,Negra ( pretos e pardos),25–49,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
31,Feminino,Branca,18–24,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
32,Feminino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
33,Masculino,Negra ( pretos e pardos),25–49,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
34,Feminino,Branca,18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
35,Feminino,Negra ( pretos e pardos),18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
36,Masculino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Motorista de Aplicativo,2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
37,Feminino,Branca,18–24,Graduação (completo ou incompleto),Estagiário,0,Até 1 salário mínimo:  R$ 1.302,
38,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estagiário,0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
39,Feminino,Negra ( pretos e pardos),18–24,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
40,Feminino,Branca,Menor que 18,Ensino Médio (completo ou incompleto),Estudante,0,Não possuo renda,
41,Masculino,Negra ( pretos e pardos),25–49,Ensino Médio (completo ou incompleto),Motorista de Aplicativo,2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
42,Masculino,Negra ( pretos e pardos),18–24,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
43,Masculino,Branca,18–24,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
44,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
45,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
46,Masculino,Branca,18–24 anos,Fundamental (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
47,Masculino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
48,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
49,Feminino,Negra ( pretos e pardos),18–24 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),4,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
50,Masculino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 3 a 5 salários mínimos: R$ 3.906 a R$ 6.510,
51,Masculino,Branca,25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),1,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
52,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Estudante,0,Não possuo renda,
53,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
54,Masculino,Branca,25–49 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 2 a 3 salários mínimos: R$ 2.604 a R$ 3.906,
55,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,0,Até 1 salário mínimo:  R$ 1.302,
56,Feminino,Negra ( pretos e pardos),25–49 anos,Ensino Médio (completo ou incompleto),Empregado (carteira assinada ou autônomo),2,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
57,Feminino,Negra ( pretos e pardos),18–24 anos,Graduação (completo ou incompleto),Empregado (carteira assinada ou autônomo),0,De 1 a 2 salários mínimos: R$ 1.302 a R$ 2.604,
58,Feminino,Branca,18–24 anos,Graduação (completo ou incompleto),Estudante,1,Até 1 salário mínimo:  R$ 1.302,
